case,event,Resource,completeTime,Variant,Variant index,Rfp_id,Permit travel permit number,Task,OrganizationalEntity,RequestedAmount,Activity,Permit TaskNumber,Permit BudgetNumber,Permit ProjectNumber,Project,Permit OrganizationalEntity,Permit RequestedBudget,Cost Type,Permit id,Permit ActivityNumber,RfpNumber,id,org:role
request for payment 76316,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-10 11:19:16.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,st_step 76320_0,EMPLOYEE
request for payment 76316,Permit APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-10 11:19:23.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,st_step 76322_0,SUPERVISOR
request for payment 76316,Permit FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2017-01-10 14:56:18.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,st_step 76321_0,DIRECTOR
request for payment 76316,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-30 12:37:40.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,st_step 76323_0,EMPLOYEE
request for payment 76316,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-30 12:40:57.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,st_step 76324_0,SUPERVISOR
request for payment 76316,Request Payment,SYSTEM,2017-02-01 10:40:00.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,rp_request for payment 76316_15,UNDEFINED
request for payment 76316,Payment Handled,SYSTEM,2017-02-06 17:31:45.000,Variant 13,13,request for payment 76316,travel permit number 76315,UNKNOWN,organizational unit 65463,1173.9577945793626,UNKNOWN,UNKNOWN,budget 2233,UNKNOWN,project 503,organizational unit 65455,3553.601972780773,0,travel permit 76314,UNKNOWN,request for payment number 76317,rp_request for payment 76316_16,UNDEFINED
request for payment 73536,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-10 11:34:01.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,st_step 73541_0,EMPLOYEE
request for payment 73536,Permit APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-10 11:34:09.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,st_step 73540_0,SUPERVISOR
request for payment 73536,Permit FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2017-01-12 10:56:40.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,st_step 73538_0,DIRECTOR
request for payment 73536,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-13 11:23:25.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,st_step 73542_0,EMPLOYEE
request for payment 73536,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-13 11:24:18.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,st_step 73543_0,SUPERVISOR
request for payment 73536,Request Payment,SYSTEM,2017-01-18 11:02:30.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,rp_request for payment 73536_15,UNDEFINED
request for payment 73536,Payment Handled,SYSTEM,2017-01-23 17:32:19.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,rp_request for payment 73536_16,UNDEFINED
request for payment 73536,Permit REJECTED by MISSING,STAFF MEMBER,2017-02-24 12:50:45.000,Variant 96,96,request for payment 73536,UNKNOWN,task 11190,organizational unit 65463,790.5520731899097,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3627.3644383882497,0,travel permit 73535,UNKNOWN,request for payment number 73537,st_step 73539_0,MISSING
request for payment 185372,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-10 17:10:10.000,Variant 91,91,request for payment 185372,travel permit number 424,task 47027,organizational unit 65457,456.43343612267864,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185373,st_step 185376_0,EMPLOYEE
request for payment 185372,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-10 17:15:32.000,Variant 91,91,request for payment 185372,travel permit number 424,task 47027,organizational unit 65457,456.43343612267864,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185373,st_step 185374_0,SUPERVISOR
request for payment 185372,Request For Payment REJECTED by MISSING,STAFF MEMBER,2017-01-20 10:12:42.000,Variant 91,91,request for payment 185372,travel permit number 424,task 47027,organizational unit 65457,456.43343612267864,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185373,st_step 185375_0,MISSING
request for payment 76195,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 12:36:23.000,Variant 8,8,request for payment 76195,travel permit number 76194,UNKNOWN,organizational unit 65463,181.97800255250306,UNKNOWN,UNKNOWN,budget 4164,UNKNOWN,project 503,organizational unit 65455,265.66131759489497,0,travel permit 76193,UNKNOWN,request for payment number 76196,st_step 76200_0,EMPLOYEE
request for payment 76195,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 12:36:25.000,Variant 8,8,request for payment 76195,travel permit number 76194,UNKNOWN,organizational unit 65463,181.97800255250306,UNKNOWN,UNKNOWN,budget 4164,UNKNOWN,project 503,organizational unit 65455,265.66131759489497,0,travel permit 76193,UNKNOWN,request for payment number 76196,st_step 76199_0,SUPERVISOR
request for payment 76195,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-17 17:19:43.000,Variant 8,8,request for payment 76195,travel permit number 76194,UNKNOWN,organizational unit 65463,181.97800255250306,UNKNOWN,UNKNOWN,budget 4164,UNKNOWN,project 503,organizational unit 65455,265.66131759489497,0,travel permit 76193,UNKNOWN,request for payment number 76196,st_step 76202_0,EMPLOYEE
request for payment 76195,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-17 17:19:57.000,Variant 8,8,request for payment 76195,travel permit number 76194,UNKNOWN,organizational unit 65463,181.97800255250306,UNKNOWN,UNKNOWN,budget 4164,UNKNOWN,project 503,organizational unit 65455,265.66131759489497,0,travel permit 76193,UNKNOWN,request for payment number 76196,st_step 76201_0,SUPERVISOR
request for payment 76195,Request Payment,SYSTEM,2017-01-23 10:27:26.000,Variant 8,8,request for payment 76195,travel permit number 76194,UNKNOWN,organizational unit 65463,181.97800255250306,UNKNOWN,UNKNOWN,budget 4164,UNKNOWN,project 503,organizational unit 65455,265.66131759489497,0,travel permit 76193,UNKNOWN,request for payment number 76196,rp_request for payment 76195_15,UNDEFINED
request for payment 76195,Payment Handled,SYSTEM,2017-01-26 17:30:47.000,Variant 8,8,request for payment 76195,travel permit number 76194,UNKNOWN,organizational unit 65463,181.97800255250306,UNKNOWN,UNKNOWN,budget 4164,UNKNOWN,project 503,organizational unit 65455,265.66131759489497,0,travel permit 76193,UNKNOWN,request for payment number 76196,rp_request for payment 76195_16,UNDEFINED
request for payment 73737,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 13:30:51.000,Variant 8,8,request for payment 73737,travel permit number 73735,task 73739,organizational unit 65458,1125.477064079303,activity 505,task 427,budget 698,project 73736,project 503,organizational unit 65458,2443.737895467727,0,travel permit 73734,UNKNOWN,request for payment number 73738,st_step 73742_0,EMPLOYEE
request for payment 73737,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 13:30:57.000,Variant 8,8,request for payment 73737,travel permit number 73735,task 73739,organizational unit 65458,1125.477064079303,activity 505,task 427,budget 698,project 73736,project 503,organizational unit 65458,2443.737895467727,0,travel permit 73734,UNKNOWN,request for payment number 73738,st_step 73743_0,SUPERVISOR
request for payment 73737,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-04-06 16:05:59.000,Variant 8,8,request for payment 73737,travel permit number 73735,task 73739,organizational unit 65458,1125.477064079303,activity 505,task 427,budget 698,project 73736,project 503,organizational unit 65458,2443.737895467727,0,travel permit 73734,UNKNOWN,request for payment number 73738,st_step 73744_0,EMPLOYEE
request for payment 73737,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-04-06 16:07:49.000,Variant 8,8,request for payment 73737,travel permit number 73735,task 73739,organizational unit 65458,1125.477064079303,activity 505,task 427,budget 698,project 73736,project 503,organizational unit 65458,2443.737895467727,0,travel permit 73734,UNKNOWN,request for payment number 73738,st_step 73745_0,SUPERVISOR
request for payment 73737,Request Payment,SYSTEM,2017-04-10 16:14:41.000,Variant 8,8,request for payment 73737,travel permit number 73735,task 73739,organizational unit 65458,1125.477064079303,activity 505,task 427,budget 698,project 73736,project 503,organizational unit 65458,2443.737895467727,0,travel permit 73734,UNKNOWN,request for payment number 73738,rp_request for payment 73737_15,UNDEFINED
request for payment 73737,Payment Handled,SYSTEM,2017-04-13 17:30:56.000,Variant 8,8,request for payment 73737,travel permit number 73735,task 73739,organizational unit 65458,1125.477064079303,activity 505,task 427,budget 698,project 73736,project 503,organizational unit 65458,2443.737895467727,0,travel permit 73734,UNKNOWN,request for payment number 73738,rp_request for payment 73737_16,UNDEFINED
request for payment 77107,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 13:48:46.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,st_step 77112_0,EMPLOYEE
request for payment 77107,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 13:48:57.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,st_step 77113_0,SUPERVISOR
request for payment 77107,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-04-06 15:53:45.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,st_step 77116_0,EMPLOYEE
request for payment 77107,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017-04-06 16:19:05.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,st_step 77114_0,PRE_APPROVER
request for payment 77107,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-04-11 17:25:08.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,st_step 77115_0,SUPERVISOR
request for payment 77107,Request Payment,SYSTEM,2017-04-19 12:01:05.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,rp_request for payment 77107_15,UNDEFINED
request for payment 77107,Payment Handled,SYSTEM,2017-04-24 17:31:11.000,Variant 30,30,request for payment 77107,travel permit number 77106,task 77109,organizational unit 65463,472.17588042774963,activity 505,UNKNOWN,budget 1370,UNKNOWN,project 503,organizational unit 65455,1770.659551604061,0,travel permit 77105,UNKNOWN,request for payment number 77108,rp_request for payment 77107_16,UNDEFINED
request for payment 185391,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 14:20:06.000,Variant 19,19,request for payment 185391,travel permit number 424,task 55559,organizational unit 65458,910.2885759853303,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185392,st_step 185393_0,EMPLOYEE
request for payment 185391,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 14:20:52.000,Variant 19,19,request for payment 185391,travel permit number 424,task 55559,organizational unit 65458,910.2885759853303,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185392,st_step 185394_0,SUPERVISOR
request for payment 185391,Request Payment,SYSTEM,2017-01-25 11:31:55.000,Variant 19,19,request for payment 185391,travel permit number 424,task 55559,organizational unit 65458,910.2885759853303,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185392,rp_request for payment 185391_15,UNDEFINED
request for payment 185391,Payment Handled,SYSTEM,2017-01-30 17:31:40.000,Variant 19,19,request for payment 185391,travel permit number 424,task 55559,organizational unit 65458,910.2885759853303,activity 505,task 427,budget 425,project 426,project 503,organizational unit 65454,923.0813153823278,0,travel permit 423,UNKNOWN,request for payment number 185392,rp_request for payment 185391_16,UNDEFINED
request for payment 76211,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 17:25:24.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,st_step 76218_0,EMPLOYEE
request for payment 76211,Permit APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 17:25:37.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,st_step 76219_0,SUPERVISOR
request for payment 76211,Permit FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2017-01-12 10:56:40.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,st_step 76217_0,DIRECTOR
request for payment 76211,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-03-27 15:44:15.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,st_step 76222_0,EMPLOYEE
request for payment 76211,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017-03-27 15:44:23.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,st_step 76220_0,PRE_APPROVER
request for payment 76211,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-03-29 10:29:46.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,st_step 76221_0,SUPERVISOR
request for payment 76211,Request Payment,SYSTEM,2017-04-03 15:15:36.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,rp_request for payment 76211_15,UNDEFINED
request for payment 76211,Payment Handled,SYSTEM,2017-04-06 17:31:01.000,Variant 47,47,request for payment 76211,travel permit number 76210,task 11190,organizational unit 65463,1381.5991022684657,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76212,rp_request for payment 76211_16,UNDEFINED
request for payment 76213,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 17:25:24.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,st_step 76218_0,EMPLOYEE
request for payment 76213,Permit APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 17:25:37.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,st_step 76219_0,SUPERVISOR
request for payment 76213,Permit FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2017-01-12 10:56:40.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,st_step 76217_0,DIRECTOR
request for payment 76213,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-05-16 16:28:41.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,st_step 76223_0,EMPLOYEE
request for payment 76213,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017-05-16 16:28:59.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,st_step 76225_0,PRE_APPROVER
request for payment 76213,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-05-18 09:18:31.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,st_step 76224_0,SUPERVISOR
request for payment 76213,Request Payment,SYSTEM,2017-05-19 08:41:41.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,rp_request for payment 76213_15,UNDEFINED
request for payment 76213,Payment Handled,SYSTEM,2017-05-22 17:31:10.000,Variant 47,47,request for payment 76213,travel permit number 76210,task 11190,organizational unit 65463,1214.10021496642,activity 505,task 427,budget 899,project 2260,project 503,organizational unit 65455,3093.928491566448,0,travel permit 76209,UNKNOWN,request for payment number 76214,rp_request for payment 76213_16,UNDEFINED
request for payment 77877,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-11 18:02:47.000,Variant 30,30,request for payment 77877,travel permit number 77876,task 77879,organizational unit 65463,348.8691213490007,activity 505,task 427,budget 12141,project 77396,project 503,organizational unit 65455,634.747984676654,0,travel permit 77875,UNKNOWN,request for payment number 77878,st_step 77882_0,EMPLOYEE
request for payment 77877,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-11 18:04:54.000,Variant 30,30,request for payment 77877,travel permit number 77876,task 77879,organizational unit 65463,348.8691213490007,activity 505,task 427,budget 12141,project 77396,project 503,organizational unit 65455,634.747984676654,0,travel permit 77875,UNKNOWN,request for payment number 77878,st_step 77883_0,SUPERVISOR
request for payment 77877,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-03-07 09:22:00.000,Variant 30,30,request for payment 77877,travel permit number 77876,task 77879,organizational unit 65463,348.8691213490007,activity 505,task 427,budget 12141,project 77396,project 503,organizational unit 65455,634.747984676654,0,travel permit 77875,UNKNOWN,request for payment number 77878,st_step 77885_0,EMPLOYEE
